kreis,org
01001,NAH.SH
01002,VRK
01003,VWM
01004,NAH.SH
01051,NAH.SH
01053,HVV
01054,NAH.SH
01055,NAH.SH
01056,HVV
01057,VRK
01058,VRK
01059,NAH.SH
01060,HVV
01061,NAH.SH
01062,HVV
02000,HVV
03101,VRB
03102,VRB
03103,VRB
03151,VRB
03153,VRB
03154,VRB
03155,VSN
03157,VRB
03158,VRB
03159,VSN
03241,GVH
03251,VBN
03252,vhp
03254,ROSA
03255,VSN
03256,VLN
03257,VLS
03351,CeBus
03352,VNN
03353,HVV
03354,VNN
03355,HVV
03356,VBN
03357,VNN
03358,VNN
03359,HVV
03360,VNN
03361,VBN
03401,VBN
03402,VEJ
03403,VBN
03404,VOS
03405,VEJ
03451,VBN
03452,VEJ
03453,VGClo
03454,VGE
03454,bvE
03455,VEJ
03456,VGB
03457,VEJ
03458,VBN
03459,VOS
03460,VGV
03461,VBN
03462,VEJ
04011,VBN
04012,VBN
05111,VRR
05112,VRR
05113,VRR
05114,VRR
05116,VRR
05117,VRR
05119,VRR
05120,VRR
05122,VRR
05124,VRR
05154,VRR
05158,VRR
05162,VRR
05166,VRR
05170,VRR
05314,VRS
05315,VRS
05316,VRS
05334,AVV
05358,AVV
05362,VRS
05366,VRS
05370,AVV
05374,VRS
05378,VRS
05382,VRS
05512,VRR
05513,VRR
05515,VGM
05554,VGM
05558,VGM
05562,VRR
05566,VGM
05570,VGM
05711,VVOWL
05754,VVOWL
05758,VVOWL
05762,nph
05766,VVOWL
05770,VGM
05774,nph
05911,VRR
05913,VRR
05914,VRR
05915,VRL
05916,VRR
05954,VRR
05958,VRL
05962,VRL
05966,VGWS
05970,VGWS
05974,VRL
05978,VRL
06411,RMV
06412,RMV
06413,RMV
06414,VMW
06431,VRN
06432,RMV
06433,RMV
06434,RMV
06435,RMV
06436,RMV
06437,RMV
06438,RMV
06439,RMV
06440,RMV
06531,RMV
06532,RMV
06533,RMV
06534,RMV
06535,RMV
06611,RMV
06631,RMV
06632,RMV
06633,RMV
06634,RMV
06635,RMV
06636,RMV
07111,VRM
07131,VRM
07132,VRM
07133,RNN
07134,RNN
07135,VRM
07137,VRM
07138,VRM
07140,VRM
07141,VRM
07143,VRM
07211,VRT
07231,VRT
07232,VRT
07233,VRT
07235,VRT
07311,VRN
07312,VRN
07313,VRN
07314,VRN
07315,VMW
07316,VRN
07317,VRN
07318,VRN
07319,VRN
07320,VRN
07331,VRN
07332,VRN
07333,VRN
07334,VRN
07335,VRN
07336,VRN
07337,VRN
07338,VRN
07339,RNN
07340,VRN
08111,VVS
08115,VVS
08116,VVS
08117,VVS
08118,VVS
08119,VVS
08121,HNV
08125,HNV
08126,HNV
08127,KVSH
08128,VRN
08135,DING
08136,OAM
08211,KVV
08212,KVV
08215,KVV
08216,KVV
08221,VRN
08222,VRN
08225,VRN
08226,VRN
08231,VPE
08235,VGC
08236,VPE
08237,VGF
08311,RVF
08315,RVF
08316,RVF
08317,TGO
08325,VVRottweil
08326,VSB
08327,VSB
08335,VHB
08336,RVL
08337,WTV
08415,naldo
08416,naldo
08417,naldo
08421,DING
08425,DING
08426,DING
08435,bodo
08436,bodo
08437,naldo
09161,INV
09162,SWM
09163,ROS
09171,VGAÖ
09172,RVO
09173,MVV
09174,MVV
09175,MVV
09176,OMP
09177,MVV
