org,name,wikidata,type,contact_email,contact_phone
MSH,Mansfeld-Südharz,Q6092,district,,
SAW,Altmarkkreis Salzwedel,Q6061,district,,
ABI,Anhalt-Bitterfeld,Q6071,district,,
APG,APG Allgemeine Personennahverkehrs-Gesellschaft Würzburg,-,agency,,
AVV,Aachener Verkehrsverbund,Q300763,agency,,
bodo,Bodensee-Oberschwaben Verkehrsverbund,Q889680,agency,,
CeBus,CeBus,Q1052172,agency,,
CHA,Cham,Q10424,district,,
COB,SÜC Bus & Aquaria,Q2377826,utility,,
dessau,Dessauer Verkehrsgesellschaft,Q1200902,utility,,
vhp,Verkehrsgesellschaft Hameln-Pyrmont,Q46285860,agency,,
DING,Donau-Iller-Nahverkehrsverbund,Q315403,agency,,
ew,Eichsfeldwerke,Q1302220,utility,,
VGF,Verkehrs-Gemeinschaft Landkreis Freudenstadt (war fds),Q1689141,agency,,
VGLG,Verkehrsgemeinschaft des Landkreises Greiz,Q81440717,agency,,
GVH,Großraum-Verkehr Hannover,Q1549516,agency,,
ROSA,ROSA Tarifverbund,Q77041777,agency,,
HNV,Heilbronner Hohenloher Haller Nahverkehr,Q1594788,agency,,
HOF,Stadtwerke Hof,Q63623957,utility,,
HVV,Hamburger Verkehrsverbund,Q896916,agency,,
INV,Ingolstadt,Q3004,city,,
IVRPV,Bus & Bahn Thüringen e.V. (ehemals Interessenverband Regionaler Personenverkehr Südthüringen),Q1666021,agency,,
KomBus,KomBus,Q1779744,agency,,
KVSH,KreisVerkehr Schwäbisch Hall,Q1504893,agency,,
KVV,Karlsruher Verkehrsverbund,Q1733986,agency,,
LAVV,Landshuter Verkehrsverbund (LAVV),Q65952782,agency,,
LVB,Leipziger Verkehrsbetriebe,Q884166,agency,,
LVG,Landsberger Verkehrsgemeinschaft,Q1673799,agency,,
marego,Magdeburger Regionalverkehrsverbund,Q1883891,agency,,
MDV,Mitteldeutscher Verkehrsverbund,Q1742463,agency,,
mona,Mona Allgäu,Q29043552,agency,,
MVV,Münchner Verkehrs- und Tarifverbund,Q259000,agency,,
NAH.SH,Nahverkehrsverbund Schleswig-Holstein,Q15825147,agency,,
NDH,Nordhausen,Q7858,district,,
NDO,Landkreis Neuburg-Schrobenhausen,Q10493,agency,,
nph,nph Nahverkehrsbund Paderborn/Höxter,-,agency,,
NWB,Wittenberg,Q6075,district,,
OAM,OstalbMobil,Q2034809,agency,,
OMP,Omnipart,-,agency,,
OVF,Omnibusverkehr Franken,Q1254382,agency,,
PAF,Stadtbus Pfaffenhofen,Q7596528,agency,,
RBO,Regionalbus Ostbayern,Q2138285,agency,,
RMV,Rhein-Main-Verkehrsverbund,Q314042,agency,,
ROS,Stadtverkehr Rosenheim,Q45060296,agency,,
RS,RS,Q1358980,company,,
RVF,Regio-Verkehrsverbund Freiburg,Q972037,agency,,
RVL,Regio Verkehrsverbund Lörrach,Q2138145,agency,,
RVO,Regionalverkehr Oberbayern,Q2138493,agency,,
RVV,Regensburger Verkehrsverbund,Q2137458,agency,,
saarVV,Saarländischer Verkehrsverbund,Q2209244,agency,,
SDL,Stendal,Q6057,district,,
SWM,Stadtwerke München,Q882871,utility,,
swp,Verkehrsbetriebsgesellschaft Passau (VBP),Q15852663,agency,,
TGO,Tarifverbund Ortenau,Q1525084,agency,,
naldo,Verkehrsverbund Neckar-Alb-Donau,Q1467217,agency,,
VBB,Verkehrsverbund Berlin-Brandenburg,Q315451,agency,,
VBN,Verkehrsverbund Bremen/Niedersachsen,Q1306245,agency,,
VEJ,Verkehrsverbund Ems-Jade,Q1324337,agency,,
VGB,Verkehrsgemeinschaft Grafschaft Bentheim,Q2516212,agency,,
VGC,Verkehrsgesellschaft Bäderkreis Calw,Q1493646,agency,,
VGClo,Verkehrsgemeinschaft Landkreis Cloppenburg,Q2516220,agency,,
VGE,Verkehrsgemeinschaft Emsland-Süd,Q2516209,agency,,
bvE,Busverkehr Emsland-Mitte/Nord,Q1017814,agency,,
VGM,Verkehrsgemeinschaft Münsterland,Q2516237,agency,,
VGN,Verkehrsverbund Großraum Nürnberg,Q2516463,agency,,
VGV,Verkehrsgesellschaft der Stadt Velbert,Q2516302,agency,,
VGW,Verkehrsgemeinschaft Wartburgregion,Q64431601,agency,,
VGWS,Verkehrsgemeinschaft Westfalen-Süd,Q2516267,agency,,
VHB,Verkehrsverbund Hegau-Bodensee,Q1484666,agency,,
VLN,Verkehrsservice Landkreis Nienburg/Weser,Q2516286,agency,,
VLS,Verkehrsgemeinschaft Landkreis Schaumburg,Q2516231,agency,,
VMO,Verkehrsgemeinschaft Müritz-Oderhaff,Q2516241,agency,,
VMS,Verkehrsverbund Mittelsachsen,Q1145755,agency,,
VMT,Verkehrsverbund Mittelthüringen,Q2516468,agency,,
VNN,Verkehrsgemeinschaft Nordost-Niedersachsen,Q2516245,agency,,
VOS,Verkehrsgemeinschaft Osnabrück,Q2516249,agency,,
LPE,Verkehrsverbund Pforzheim-Enzkreis,Q2516474,agency,,
VRB,Verkehrsverbund Region Braunschweig,Q2514431,agency,,
VRK,Verkehrsverbund Region Kiel,Q2516477,agency,,
VRL,Verkehrsgemeinschaft Ruhr-Lippe,Q1229874,agency,,
VRM,Verkehrsverbund Rhein-Mosel,Q2516481,agency,,
VRN,Verkehrsverbund Rhein-Neckar,Q1553051,agency,,
VRR,Verkehrsverbund Rhein-Ruhr,Q448199,agency,,
VRS,Verkehrsverbund Rhein-Sieg,Q896041,agency,,
VRT,Verkehrsverbund Region Trier,Q2516480,agency,,
VSB,Verkehrsverbund Schwarzwald-Baar,Q2516487,agency,,
VSN,Verkehrsverbund Süd-Niedersachsen,Q1360635,agency,,
VTO,Verkehrs- und Tarifgemeinschaft Ostharz,Q2516092,agency,,
VAB,Verkehrsgemeinschaft am Bayerischen Untermain,Q2516264,agency,,
VGAÖ,Verkehrsgemeinschaft Altötting,Q1269865,agency,,
VVO,Verkehrsverbund Oberelbe,Q1426445,agency,,
VVOWL,Zweckverband Verkehrsverbund OWL,Q231863,agency,poststelle@vvowl.de-mail.de,+49 0521/3294330
VVR,Verkehrsgesellschaft Vorpommern-Rügen,Q23787863,agency,,
VVRottweil,Verkehrsverbund Rottweil,Q1582791,agency,,
VVS,Verkehrs- und Tarifverbund Stuttgart,Q2516108,agency,,
VVV,Verkehrsverbund Vogtland,Q2516490,agency,,
VVW,Verkehrsverbund Warnow,Q2516492,agency,,
VWG,Verwaltungsgesellschaft des ÖPNV Sömmerda,Q1801295,agency,,
VWM,Verkehrsgemeinschaft Westmecklenburg,Q2516262,agency,,
WEN,Stadtverkehr Weiden (Oberpfalz),-,agency,,
WTV,Waldshuter Tarifverbund,Q2541897,agency,,
WVV,Westpfalz-Verkehrsverbund,Q2565557,agency,,
ZVON,Verkehrsverbund Oberlausitz-Niederschlesien,Q2516483,agency,,
